               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072085,            0.053802,                   0,           0.0070694,             0.23042,           0.0046398,           0.0012917,            0.059882,            0.078798,                   0,           0.0033286,           0.0033286,            0.070043
                   1,            0.064962,            0.051291,                   0,            0.020613,            0.070926,           0.0068187,           0.0019461,             0.05299,            0.085955,                   0,           0.0062622,           0.0062622,            0.039643
                   2,            0.063126,            0.051311,                   0,            0.075862,             0.12735,            0.033794,            0.008934,            0.054593,            0.080294,                   0,           0.0087958,           0.0087958,           0.0088431
                   3,            0.060636,            0.050334,                   0,            0.076858,             0.12657,            0.030432,           0.0078876,            0.057088,            0.076678,                   0,              0.0082,              0.0082,              0.0082
                   4,            0.058983,            0.049876,                   0,             0.19915,             0.15977,            0.098165,            0.031044,            0.050565,            0.075682,                   0,              0.0082,              0.0082,              0.0082
                   5,             0.05602,            0.048496,                   0,             0.25482,             0.18546,             0.12722,             0.04377,            0.046881,            0.075254,                   0,              0.0076,              0.0076,              0.0076
                   6,            0.053529,            0.047385,                   0,             0.34156,             0.22394,             0.18665,            0.070241,             0.04596,            0.072267,                   0,               0.007,               0.007,               0.007
                   7,            0.051222,            0.046801,                   0,             0.25652,             0.19925,             0.13898,            0.045029,            0.048377,            0.069264,                   0,              0.0064,              0.0064,              0.0064
                   8,            0.049699,            0.043866,                   0,             0.50827,             0.27224,             0.28044,             0.11321,            0.041354,            0.067726,                   0,              0.0058,              0.0058,              0.0058
                   9,            0.047581,            0.043123,                   0,             0.50899,             0.32472,             0.33244,             0.12413,            0.041851,            0.066104,                   0,              0.0052,              0.0052,              0.0052
                  10,            0.047055,            0.041149,                   0,             0.54678,             0.33203,             0.35483,             0.13313,            0.040681,            0.064853,                   0,              0.0046,              0.0046,              0.0046
                  11,            0.044685,            0.039295,                   0,             0.63908,             0.37389,             0.41507,             0.15925,            0.038916,            0.061999,                   0,               0.004,               0.004,               0.004
                  12,            0.043825,             0.03946,                   0,             0.63593,             0.38534,             0.43522,              0.1632,            0.038957,            0.061323,                   0,              0.0034,              0.0034,              0.0034
                  13,            0.043542,            0.038075,                   0,             0.67728,             0.39395,             0.45448,             0.18151,            0.039582,            0.059039,                   0,              0.0028,              0.0028,              0.0028
                  14,            0.041397,            0.036783,                   0,              0.7045,             0.41788,             0.47899,             0.19152,            0.038809,            0.060485,                   0,              0.0022,              0.0022,              0.0022
