               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065568,            0.051685,                   0,                   0,                   0,                   0,                   0,            0.055785,            0.085297,                   0,           0.0003331,           0.0003331,            0.067023
                   1,            0.057765,            0.052461,                   0,            0.014356,            0.035871,           0.0057245,           0.0015381,            0.049618,             0.08513,                   0,          0.00062644,          0.00062644,            0.033983
                   2,            0.055362,             0.05336,                   0,            0.051636,            0.099154,            0.014524,           0.0044026,             0.05244,            0.078633,                   0,          0.00087979,          0.00087979,          0.00090343
                   3,            0.051243,            0.050592,                   0,             0.18812,             0.16526,            0.086041,            0.023117,            0.046289,             0.07497,                   0,             0.00082,             0.00082,             0.00082
                   4,            0.048686,            0.048477,                   0,             0.35803,             0.25768,             0.22266,            0.066063,            0.044632,            0.071055,                   0,             0.00082,             0.00082,             0.00082
                   5,            0.046781,            0.047061,                   0,             0.45559,             0.26692,             0.25867,            0.090793,            0.043252,            0.069125,                   0,             0.00076,             0.00076,             0.00076
                   6,            0.044147,            0.045008,                   0,             0.49336,             0.29981,             0.30867,             0.11822,            0.041126,             0.06933,                   0,              0.0007,              0.0007,              0.0007
                   7,            0.043117,            0.042342,                   0,             0.62371,             0.36263,             0.40321,             0.15754,            0.039747,            0.066546,                   0,             0.00064,             0.00064,             0.00064
                   8,            0.040699,            0.040302,                   0,             0.67708,             0.34649,             0.40447,             0.14915,            0.038712,            0.064061,                   0,             0.00058,             0.00058,             0.00058
                   9,            0.039781,            0.039575,                   0,              0.5498,             0.31986,             0.34479,             0.13635,            0.038926,            0.066723,                   0,             0.00052,             0.00052,             0.00052
                  10,             0.03847,              0.0373,                   0,             0.61991,             0.36779,             0.41283,             0.15416,             0.03882,            0.063009,                   0,             0.00046,             0.00046,             0.00046
                  11,            0.037697,            0.038002,                   0,             0.70328,             0.41244,             0.47325,             0.20148,             0.03638,            0.060651,                   0,              0.0004,              0.0004,              0.0004
                  12,            0.036918,            0.036556,                   0,             0.70538,             0.41666,             0.48329,             0.20072,            0.036443,            0.061704,                   0,             0.00034,             0.00034,             0.00034
                  13,            0.035598,            0.035755,                   0,             0.74962,             0.41917,             0.50298,             0.22161,            0.035788,             0.06061,                   0,             0.00028,             0.00028,             0.00028
                  14,            0.034981,            0.034869,                   0,             0.77172,             0.45943,             0.54091,             0.23819,            0.035202,            0.057878,                   0,             0.00022,             0.00022,             0.00022
